model_id,vendor,datasheet_url,release_date,typical_power_W,typical_power_descr,max_power_W,max_power_descr,max_capacity_Tbps
8201-24H8FH,Cisco,https://www.cisco.com/c/en/us/products/collateral/routers/8000-series-routers/datasheet-c78-742571.html,,205,at 5.6 Tbps,,,5.6
8201-32FH,Cisco,https://www.cisco.com/c/en/us/products/collateral/routers/8000-series-routers/datasheet-c78-742571.html,,288,at 12.8 Tbps,,,
8201-SYS,Cisco,https://www.cisco.com/c/en/us/products/collateral/routers/8000-series-routers/datasheet-c78-742571.html,,,,,,10.8
8202-SYS,Cisco,https://www.cisco.com/c/en/us/products/collateral/routers/8000-series-routers/datasheet-c78-742571.html,,,,,,10.8
A9K-RSP880-TR,Cisco,https://www.cisco.com/c/en/us/products/collateral/routers/asr-9000-series-aggregation-services-routers/datasheet-c78-733763.html,,,,,,
ASR-9001,Cisco,https://www.cisco.com/c/en/us/products/collateral/routers/asr-9001-router/data_sheet_c78-685687.html,,425,,525,,
ASR-9006,Cisco,https://www.cisco.com/c/en/us/products/collateral/routers/asr-9000-series-aggregation-services-routers/data_sheet_c78-501767.html,2008-11-11,,,,,
ASR-920-24SZ-M,Cisco,https://www.cisco.com/c/en/us/products/collateral/routers/asr-920-series-aggregation-services-router/datasheet-c78-733397.html,,110,,150,,
N540-24Z8Q2C-M,Cisco,https://www.cisco.com/c/en/us/products/collateral/routers/network-convergence-system-500-series-routers/datasheet-c78-740296.html,,200,at most 200. At least 100,250,,0.0003
N540X-8Z16G-SYS-A,Cisco,https://www.cisco.com/c/en/us/products/collateral/routers/network-convergence-system-500-series-routers/datasheet-c78-744713.html,2019-08-30,70,at least 40W,100,,
NCS-55A1-24H,Cisco,https://www.cisco.com/c/en/us/products/collateral/routers/network-convergence-system-5500-series/datasheet-c78-739905.html,,600,at 27 degree Celsius,800,at 55 degree Celsius,1.8
NCS-55A1-24Q6H-SS,Cisco,https://www.cisco.com/c/en/us/products/collateral/routers/network-convergence-system-5500-series/datasheet-c78-743998.html,,400,at 25 degree Celsius,550,at 55 degree Celsius,0.9
NCS-55A1-24Q6H,Cisco,https://www.cisco.com/c/en/us/products/collateral/routers/network-convergence-system-5500-series/datasheet-c78-743998.html,,330,at 25degC,450,at 55degC,
NCS-55A1-48Q6H,Cisco,https://www.cisco.com/c/en/us/products/collateral/routers/network-convergence-system-5500-series/datasheet-c78-742295.html?dtid=osscdc000283,,460,at 25degC,700,at 55degC,1.8
WS-C6504-E,Cisco,https://www.cisco.com/c/en/us/support/switches/catalyst-6504-e-switch/model.html,2005-05-31,,,2700,,
